Period,OTP,Ctl OTP,TTL FLT,DLY FLT,Ctl DLY FLT,TTL PAX,DLY PAX,Ctl DLY PAX,DLY Cnt,AF,AT,AX,AG,GB,CD,TC,AZ,FZ,MX,RA,GF,TZ,TN,RL,FL,PW,PS,RZ,PL,PH,SG,PB,DG,EZ,FR,WZ,PZ,GZ,FF,WG,AE,TD,GD,AS,AM,CI,WO,DF,PD,GT,FT
2023-11-26,95.24,100.0,21,1,0,4364,81,0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27,75.0,100.0,24,6,0,4577,1153,0,7.0,3.0,1.0,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-28,72.73,100.0,22,6,0,3751,1286,0,8.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29,78.26,95.65,23,5,1,4223,911,249,8.0,2.0,,,,,,,,,3.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-30,90.91,100.0,22,2,0,3851,405,0,3.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01,91.3,100.0,23,2,0,4281,117,0,4.0,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-02,79.17,100.0,24,5,0,4442,1090,0,7.0,3.0,2.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-03,95.83,100.0,24,1,0,4349,265,0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
2023-12-04,76.0,100.0,25,6,0,4308,917,0,11.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
2023-12-05,87.5,100.0,24,3,0,3845,432,0,6.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-06,100.0,100.0,24,0,0,4331,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-07,92.0,100.0,25,2,0,4587,430,0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-08,82.61,100.0,23,4,0,4394,526,0,6.0,3.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-09,83.33,100.0,24,4,0,4730,782,0,8.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-10,100.0,100.0,24,0,0,4404,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-11,96.0,100.0,25,1,0,4315,156,0,3.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-12,83.33,100.0,24,4,0,3817,614,0,5.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-13,70.83,100.0,24,7,0,4279,1267,0,12.0,4.0,5.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
2023-12-14,87.5,100.0,24,3,0,4369,558,0,6.0,2.0,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-15,91.3,100.0,23,2,0,4483,402,0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-16,72.0,96.0,25,7,1,4844,1567,299,15.0,4.0,7.0,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0
2023-12-17,91.67,100.0,24,2,0,4361,287,0,5.0,2.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
2023-12-18,80.0,100.0,25,5,0,4345,802,0,10.0,3.0,3.0,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2023-12-19,88.0,96.0,25,3,1,3961,652,301,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
2023-12-20,54.17,95.83,24,11,1,4382,1936,181,13.0,6.0,1.0,,,,,,,,,3.0,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
2023-12-21,57.69,100.0,26,11,0,4751,1818,0,18.0,8.0,3.0,,,,,,,1.0,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-22,82.61,100.0,23,4,0,4292,866,0,7.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-23,48.0,100.0,25,13,0,4891,2545,0,23.0,10.0,9.0,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-24,95.83,100.0,24,1,0,3980,57,0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-25,92.0,100.0,25,2,0,3669,198,0,4.0,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-26,92.0,100.0,25,2,0,3761,174,0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-27,91.67,95.83,24,2,1,4609,360,182,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,
2023-12-28,80.77,100.0,26,5,0,5304,1254,0,9.0,4.0,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-29,91.3,100.0,23,2,0,4249,362,0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-30,64.0,96.0,25,9,1,4872,1863,184,16.0,8.0,5.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,
2023-12-31,91.67,100.0,24,2,0,4008,236,0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
